sex	name	pct
F	Aaya	0.0008774673834405233
F	Aayah	0.00206204835108523
F	Aayana	0.00032173804059485854
F	Aayat	0.004972315172829632
F	Aayath	0.00010237119473472772
F	Aayesha	0.0002486157586414816
F	Aayla	0.0007750961887057955
F	Aayliah	4.3873369172026165e-05
F	Aayma	4.3873369172026165e-05
F	Aayra	0.00033636249698553393
F	Aayrah	4.3873369172026165e-05
F	Aaysha	0.00017549347668810466
F	Aayushi	0.0005118559736736385
F	Aayza	0.00010237119473472772
F	Aazeen	0.0002486157586414816
F	Aba	0.0001316201075160785
F	Abagael	5.8497825562701554e-05
F	Abagail	0.00030711358420418316
F	Abaigeal	4.3873369172026165e-05
F	Abbe	0.00020474238946945544
F	Abbee	8.774673834405233e-05
F	Abbey	0.041489582780346076
